"d34_mid","d34_uime","n8","address","description","latitude","longitude"
20217936,"Krajevna skupnost Veliki Gaber",604042,"Veliki Gaber 90, 8213 Veliki Gaber","","45.9354066","14.9060866"
20231874,"Peter Žibert",604043,"Sv. Vrh 3, 8230 Mokronog","","45.94348189999999","15.1757978"
20231882,"Končina Peter",604044,"Okrog 11a, 8232 Šentrupert","","45.9939545","15.0606271"
20327847,"Občina Brežice",605001,"Cesta prvih borcev 18, 8250 Brežice","","45.9037655","15.5925687"
20328126,"(I)Mladinski center Brežice",605002,"Gubčeva ul. 10a,  8250 Brežice","","45.9018697","15.5950673"
20327618,"Osnovna šola Brežice",605003,"Levstikova ulica 18, 8250 Brežice","","45.9070361","15.595921"
20327928,"Vrtec Mavrica Brežice (vhod B)",605004,"Šolska ulica 5, 8250 Brežice","","45.9066641","15.5972242"
20327626,"(II)Mladinski center Brežice",605005,"Gubčeva ul. 10a, 8250 Brežice","","45.9018697","15.5950673"
20327936,"Gasilski dom Bukošek",605006,"Bukošek 28, 8250 Brežice","","45.9172637","15.6227745"
20327855,"(I)Srednja ekon. šola Brežice",605007,"Bizeljska cesta 45, 8250 Brežice","","45.9074551","15.6049091"
20327634,"(II)Srednja ekon. šola Brežice",605008,"Bizeljska cesta 45, 8250 Brežice","","45.9074551","15.6049091"
20327944,"Zavod za šport (na stadionu)",605009,"Černelčeva cesta 10, 8250 Brežice","","45.9081263","15.5941455"
20327642,"(I)GD Šentlenart",605010,"C. bratov Milavcev 105, 8250 Brežice","","45.9207459","15.5927907"
20327952,"(II)GD Šentlenart",605011,"C. bratov Milavcev 105, 8250 Brežice","","45.9207459","15.5927907"
20327669,"Prosvetni dom Artiče",605012,"Artiče 38, 8253 Artiče","","45.9526656","15.583812"
20327677,"Osnovna šola Artiče",605013,"Artiče 39, 8253 Artiče","","45.9516054","15.5854108"
20327685,"Stavba nekdanje osnovne šole Pečice",605014,,"","46.012917","15.578789"
20327863,"Dom krajanov Sromlje",605015,,"","45.989347","15.595711"
20327979,"(I) Prosvetni dom Globoko",605016," Globoko 5, 8254 Globoko","","45.9562162","15.6276444"
20341122,"(II) Prosvetni dom Globoko",605017," Globoko 5, 8254 Globoko","","45.9562162","15.6276444"
20327987,"Večnamenski dom Pišece",605018,,"","46.003189","15.647894"
20327707,"Osnovna šola Pišece",605019,"Pišece 34, 8255 Pišece","","46.003228","15.6477108"
20327995,"Gasilski dom Gabrje pri Dobovi",605020,"Gabrje pri Dobovi 20, 8257 Dobova","","45.9043901","15.651181"
20327871,"Gasilski dom Mali Obrež",605021,"Mali Obrež 18, 8257 Dobova","","45.90802730000001","15.6594275"
20327715,"Gasilski dom Veliki Obrež",605022,"Veliki Obrež 13, 8257 Dobova","","45.9029533","15.6679527"
20328002,"Brodarska hišica Mostec",605023,,"","45.898922","15.628633"
20327723,"Gasilski dom Mihalovec",605024,"Mihalovec 17, 8257 Dobova","","45.893083","15.65209"
20328118,"Gasilski dom Loče",605025,"Stari trg 13, 3215 Loče","","46.3019092","15.4968235"
20328029,"Krajevna skupnost Dobova",605026,"Ulica bratov Gerjovičev 48, 8257 Dobova","","45.894718","15.6597308"
20328134,"Gasilski dom Rigonce",605027,"Rigonce 29, 8257 Dobova","","45.8876032","15.6822328"
20327880,"Gasilski dom Sela pri Dobovi",605028,"Sela pri Dobovi 46b, 8257 Dobova","","45.9125497","15.6324158"
20328037,"Gasilski dom Kapele",605029,"Kapele 13, 8258 Kapele","","45.9382092","15.6879886"
20327731,"Gasilski dom Rakovec",605030,"Rakovec 15, 8258 Kapele","","45.922902","15.7025464"
20328045,"Gasilski dom Župelevec",605031,"Župelevec 53, 8258 Kapele","","45.9601154","15.6854861"
20327740,"OŠ Bizeljsko",605032,"Bizeljska cesta 78, 8259 Bizeljsko","","46.0159925","15.6931736"
20327898,"Gasilski dom Orešje",605033,"Orešje 17, 8220 Šmarješke Toplice","","45.8880144","15.2695435"
20327839,"Gasilski dom Stara vas - Bizeljsko",605034,"Stara Vas-Bizeljsko 68, 8259 Bizeljsko","","45.9882287","15.6966639"
20328053,"Gasilski dom Cerklje ob Krki",605035,"Cerklje ob Krki 56, 8263 Cerklje ob Krki","","45.8842896","15.5198951"
20327758,"Osnovna šola Cerklje ob Krki",605036,"Cerklje ob Krki 3, 8263 Cerklje ob Krki","","45.8842896","15.5198951"
20328061,"Gasilski dom Dolenja Pirošica",605038,"Dolenja Pirošica 4 A, 8263 Cerklje ob Krki","","45.876856","15.5242144"
20327901,"Krajevna skupnost Čatež ob Savi",605039,"Čateška ulica 3, 8250 Brežice","","45.8914281","15.6019183"
20327774,"Gasilski dom Cerina",605040,"Cerina 14a, 8250 Brežice","","45.8803832","15.6086097"
20328100,"Krajevna skupnosta Krška vas (spodaj)",605041,"Krška vas 2, 8262 Krška vas","","45.8916591","15.5717676"
20327782,"Gasilski dom Skopice",605042,"Gorenje Skopice 3, 8262 Krška vas","","45.9032182","15.5508535"
20328070,"Dom družbenih organov Velike Malence",605043,,"","45.885111","15.568439"
20327804,"Nekdanja osnovna šola Mrzlava vas",605044,,"","45.879119","15.578683"
20328088,"KS Velika Dolina",605045,"Velika Dolina 9, 8261 Jesenice na Dolenjskem","","45.8538834","15.6616874"
20327812,"Osnovna šola Velika Dolina",605046,"Velika Dolina 30, 8261 Jesenice na Dolenjskem","","45.8530242","15.663888"
20327910,"KS Jesenice na Dolenjskem",605047,"Jesenice 11a, 8261 Jesenice na Dolenjskem","","45.86077969999999","15.6872469"
20328096,"Gasilski dom Obrežje",605048,"Obrežje 32, 8261 Jesenice na Dolenjskem","","45.8505078","15.6876756"
20343648,"Krajevna skupnost Križe",605049,"Križe 21 d, 8282 Koprivnica","","46.0362496","15.5405303"
20438231,"OŠ Koprivnica",606001,"Koprivnica 2, 8282 Koprivnica","","46.0354012","15.5405671"
20437634,"Gasilski dom na Velikem Kamnu",606003,"Veliki Kamen 13a, 8282 Koprivnica","","46.0392017","15.5201982"
20438207,"Dom XIV. Divizije Senovo I",606004,"Trg XIV. divizije 1, 8281 Senovo","","46.0206592","15.475854"
20451700,"Dom XIV. divizije Senovo II",606005,"Trg XIV. divizije 1, 8281 Senovo","","46.0206592","15.475854"
