"id","name","address","description","lat","lon"
"602010","Gasilski dom Orešje ","Orešje 17, 8220 Šmarješke Toplice","","45.8880144","15.2695435"
"602012","Gasilski dom","Zbure 29a, 8220 Zbure","","45.9077449","15.2474371"
"602013"," Muzej L. Slaka in T. Pavčka","Trg 8, 8216 Mirna Peč","","45.8580976","15.0856768"
"602014","Osnovna šola Toneta Pavčka","Postaja 1, 8216 Mirna Peč","","45.86242379999999","15.0920281"
"602015","Gasilski dom","Jablan 20, 8216 Mirna Peč","","45.8381005","15.0953684"
"602016","Gasilski dom","Gorenji Globodol 38, 8216 Mirna Peč","","45.8512758","15.0428224"
"602018","Gasilski dom","Podgrad 38, 8000 Novo mesto","","45.7355009","15.2027415"
"602019","Prosvetni dom Podhosta ","","","45.761006","15.030197"
"602020","Gasilski dom","Podturn pri Dol. Toplicah 12, 8350 Dolenjske Toplice","","45.7426483","15.0393014"
"602022","Gasilski dom Ratež","Ratež 47, 8321 Brusnice","","45.822142","15.2405766"
"602024","Gasilski dom","Soteska 38, 8351 Straža pri Novem mestu","","45.7800082","15.0200462"
"602025","Gasilski dom","Stopiče 3, 8322 Stopiče","","45.7628931","15.2158122"
"602026","Gasilski dom","Stranska vas 70, 8000 Novo mesto","","45.7596261","15.1644129"
"602029","Zadružni dom","Vaška cesta 4, 8323 Uršna sela","","45.7225578","15.1143399"
"602031","Osnovna šola","Velike Brusnice 101, 8321 Brusnice","","45.8116571","15.2567271"
"602032","Osnovna šola (avla)","Baragova cesta 1, 8360 Žužemberk","","45.8314465","14.9325172"
"602033","Kartuzija Pleterje","Drča 1, 8310 Šentjernej","","45.81822409999999","15.3499777"
"602034","Gasilski dom Cerov Log ","Cerov Log 1, 8310 Šentjernej","","45.80744139999999","15.3152057"
"602035","Karlovček d.o.o.","Vrh pri Šentjerneju 5, 8310 Šentjernej","","45.8417829","15.3206314"
"602036","Gorišek Božena","Dolenja Brezovica 1, 8310 Šentjernej","","45.83272789999999","15.3408913"
"602037","Gasilski dom","Dolenja Stara vas 43, 8310 Šentjernej","","45.837591","15.3556967"
"602038","Gasilski dom","Dolenje Mokro Polje 4, 8310 Šentjernej","","45.8337376","15.276251"
"602039","Gasilski dom","Dolenji Maharovec 19, 8310 Šentjernej","","45.8492295","15.3014276"
"602040","Tajčman Marija","Gorenja Gomila 5, 8310 Šentjernej","","45.8631889","15.2881435"
"602041","Gasilski dom","Gorenja Stara vas 21, 8310 Šentjernej","","45.8375035","15.3537883"
"602042","Gasilski dom","Gorenje Vrhpolje 86, 8310 Šentjernej","","45.8146902","15.3275435"
"602043","Gasilski dom","Groblje pri Prekopi 36, 8310 Šentjernej","","45.8532111","15.3621097"
"602044","Gasilski dom","Orehovica 57, 8310 Šentjernej","","45.815517","15.3032947"
"602045","Andrej Turk","Roje 12, 8310 Šentjernej ","","45.8611468","15.3430054"
"602046","Mizarstvo Cvelbar","Mršeča vas 1, 8310 Šentjernej","","45.8768024","15.3635752"
"602048","Osnovna šola Šentjernej","Prvomajska cesta 9, 8310 Šentjernej","","45.8448319","15.3405774"
"602049","KC Primoža Trubarja","Trubarjeva c. 13, 8310 Šentjernej","","45.8449822","15.3367478"
"602050","Gasilski dom","Reber 16, 8360 Žužemberk","","45.8536636","14.9297563"
"602051","Gasilski dom","Vrh pri Križu 17, 8360 Žužemberk","","45.86237879999999","14.8854087"
"602052","Dom krajanov","Veliko Lipje ","","45.7990439","14.9201959"
"602053","Gasilski dom","Šmihel pri Žužemberku 38, 8360 Žužemberk ","","45.8516165","14.8817484"
"602054","Gasilski dom","Dolnji Ajdovec 21, 8361 Dvor","","45.8286612","15.0102722"
"602055","Gasilski dom","Hinje 38, 8362 Hinje","","45.7683611","14.8847565"
"602056","Osnovna šola Prevole","Prevole 32, 8362 Hinje","","45.7734846","14.8626913"
"602057","Edo Škufca","Sela pri Hinjah 11, 8362 Hinje ","","45.7964947","14.8870294"
"602058","Gasilski dom","Žvirče ","","45.7828184","14.8241589"
"602059","Podružnična šola Dvor (avla nove stavbe)","Dvor 23, 8361 Dvor","","45.811166","14.9657723"
"603001","Porodnišnica (avla)","Šmihelska cesta 1, 8000 Novo mesto","","45.8001628","15.1638409"
"603002","Stara OŠ","Dolenje Karteljevo ","","45.8645807","15.1424274"
"603004","Vrtec","Šegova ulica 22, 8000 Novo mesto","","45.7982514","15.1570523"
"603005","Prostori KS","Ulica Slavka Gruma 9, 8000 Novo mesto","","45.7988157","15.1556424"
"603006","Janez Miklič","Gorenje Kamence 9, 8000 Novo mesto","","45.8368097","15.1385127"
"603008","Dom Krajanov KS Gotna vas","Jedinščica 58, 8000 Novo mesto","","45.78359950000001","15.1789201"
"603009","Osnovna šola","Mali Slatnik 7, 8000 Novo mesto","","45.8091833","15.2052466"
"603010","Gasilski dom","Križe 27, 8000 Novo mesto","","45.7999125","15.2302438"
"603011","Dom krajanov","Regrča vas 101, 8000 Novo mesto","","45.7830521","15.1701145"
"603012","Gasilski dom","Novomeška cesta 1, 8351 Straža pri Novem mestu","","45.796564","15.0872204"
