DZ22PV_ID,OVK,OVK_DUP,OVK_ime,OB_MID,OB_ID,obmocje,name,sedez_naslov,sedez_posta,lat,lon
70,6009,1,Litija,,,"Občini Litija in Šmartno pri Litiji ter del občine Ivančna Gorica, ki obsega območja naselij: Pusti Javor, Radanja vas, Sela pri Sobračah, Sobrače, Vrh pri Sobračah",Občina Litija,Jerebova ulica 14,1270 Litija,46.05732,14.83097
71,6010,2,Hrastnik-Trbovlje,34,34,Občina Hrastnik,Upravna zgradba Hrastnik,Pot Vitka Pavliča 5,1430 Hrastnik,46.14593,15.08162
72,6010,2,Hrastnik-Trbovlje,129,129,Občina Trbovlje,Upravna zgradba Trbovlje,Mestni trg 4,1420 Trbovlje,46.15626,15.05407
73,6011,1,Zagorje,,,Občina Zagorje ob Savi,Weinbergerjeva hiša,Cesta 9. avgusta 4,1410 Zagorje ob Savi,46.13440,14.99534
74,7001,1,Šmarje pri Jelšah,,,"Občine Bistrica ob Sotli, Kozje, Podčetrtek, Rogaška Slatina, Rogatec in Šmarje pri Jelšah",Kulturni dom Šmarje pri Jelšah,Aškerčev trg 20,3240 Šmarje pri Jelšah,46.22820,15.51830
75,7002,1,Slovenska Bistrica,,,"Občine Poljčane, Makole, Oplotnica in del občine Slovenska Bistrica (v skladu z ZDVEDZ) ter del občine Zreče, ki obsega območje naselja Zlakova",Upravna enota Slovenska Bistrica,Kolodvorska 10,2310 Slovenska Bistrica,46.39193,15.57555
76,7003,1,Slovenske Konjice,,,Občini Slovenske Konjice in Vitanje ter del občine Zreče (v skladu z ZDVEDZ),Občina Slovenske Konjice,Stari trg 29,3210 Slovenske Konjice,46.33709,15.42201
77,7004,2,Ruše,178,178,Občina Selnica ob Dravi,Občina Selnica ob Dravi,Slovenski trg 4,2352 Selnica ob Dravi,46.55150,15.49303
78,7004,2,Ruše,,,Občini Lovrenc na Pohorju in Ruše,Upravna enota Ruše,Kolodvorska ulica 9,2342 Ruše,46.53896,15.51013
79,7005,1,Maribor 1,,,"Občina Rače - Fram, del občine Hoče - Slivnica in del mestne občine Maribor (v skladu z ZDVEDZ) ",Kulturni dom Kamnica,Vrbanska 97,2351 Kamnica,46.57321,15.61582
80,7006,1,Maribor 2,,,"Občini Miklavž na Dravskem polju in Starše, del občine Hoče - Slivnica in del mestne občine Maribor (v skladu z ZDVEDZ) ",Kulturni dom Hoče,Pohorska cesta 15,2311 Hoče,46.49846,15.64682
81,7007,1,Maribor 3,,,Občina Duplek in del mestne občine Maribor (v skladu z ZDVEDZ),Mestna četrt Brezje,Na trati 2,2000 Maribor,46.53586,15.68739
82,7008,1,Maribor 4,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Razstavni salon,Grajska ulica 7,2000 Maribor,46.56103,15.64815
83,7009,1,Maribor 5,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Mestni mladinski svet,Trg revolucije 9,2000 Maribor,46.55453,15.64554
84,7010,1,Maribor 6,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Javni zavod Gasilska brigada Maribor,Cesta proletarskih brigad 21,2000 Maribor,46.53994,15.64365
85,7011,1,Maribor 7,,,Del mestne občine Maribor (v skladu z ZDVEDZ),Mestna četrt Tabor,Metelkova 63,2000 Maribor,46.54201,15.64353
86,8001,1,Lendava,,,"Občine Črenšovci, Dobrovnik, Kobilje, Lendava, Odranci, Turnišče in Velika Polana",Dvojezična OŠ II Lendava,Ulica heroja Mohorja 1,9220 Lendava,46.56042,16.45456
87,8002,1,Ormož,,,"Občine Ormož, Središče ob Dravi in Sveti Tomaž",Upravna enota Ormož,Ptujska cesta 6,2270 Ormož,46.40732,16.14730
88,8003,1,Ljutomer,,,"Občine Ljutomer, Križevci, Razkrižje in Veržej",Dom kulture,Prešernova ulica 20,9240 Ljutomer,46.52061,16.19499
89,8004,1,Murska Sobota 1,,,"Občine Puconci, Rogašovci, Šalovci, Tišina, Cankova, Gornji Petrovci, Grad, Hodoš, Kuzma, del občine Moravske Toplice in del mestne občine Murska Sobota (v skladu z ZDVEDZ)",Mestna občina Murska Sobota,Kardoševa ulica 2,9000 Murska Sobota,46.66250,16.16392
90,8005,1,Murska Sobota 2,,,"Občina Beltinci, del mestne občine Murska Sobota in del občine Moravske Toplice (v skladu z ZDVEDZ) ",Mestna Občina Murska Sobota,Kardoševa ulica 2,9000 Murska Sobota,46.66250,16.16392
91,8006,1,Gornja Radgona,,,"Občine Apače, Gornja Radgona, Radenci in Sveti Jurij ob Ščavnici",Upravna enota Gornja Radgona,Partizanska cesta 13,9250 Gornja Radgona,46.67750,15.99033
92,8007,1,Lenart,,,"Občine Benedikt, Cerkvenjak, Lenart, Sveta Ana, Sveti Jurij v Slovenskih goricah in Sveta Trojica v Slovenskih goricah",Upravna enota Lenart,Trg osvoboditve 7,2230 Lenart v Slov. goricah,46.57594,15.83071
93,8008,1,Pesnica,,,"Občine Pesnica, Kungota in Šentilj",Večnamenski KTPC Pesnica,Pesnica pri Mariboru 41,2211 Pesnica pri Mariboru,46.60859,15.67541
94,8009,1,Ptuj 1,,,"Občine Destrnik, Dornava, Gorišnica, Juršinci, Markovci, Sveti Andraž v Slov. goricah in Trnovska vas ter del mestne občine Ptuj (v skladu z ZDVEDZ)",Upravna enota Ptuj,Slomškova 10,2250 Ptuj,46.42149,15.87190
95,8010,1,Ptuj 2,,,Občina Hajdina in del mestne občine Ptuj (v skladu z ZDVEDZ),Upravna enota Ptuj,Slomškova 10,2250 Ptuj,46.42149,15.87190
96,8011,1,Ptuj 3,,,"Občine Cirkulane, Kidričevo, Majšperk, Podlehnik, Videm, Zavrč in Žetale",Upravna enota Ptuj,Slomškova 10,2250 Ptuj,46.42149,15.87190
